dataset,arch,gamma,seed,acc,nmi,ari,metric,log_file
BDGP,10,10.0,1,0.9812,0.9501,0.954,nmi,logs/stage7_dmcag_grid/BDGP/BDGP_arch10_gamma10_seed1.log
HW,50,10.0,2,0.981,0.9566,0.9583,nmi,logs/stage7_dmcag_grid/HW/HW_arch50_gamma10_seed2.log
