dataset,arch,gamma,num_runs,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,metric
BDGP,30,10.0,5,0.97688,0.005929,0.9413,0.009942,0.94396,0.013366,acc_mean
HW,80,10.0,5,0.9794,0.000822,0.9532,0.001713,0.95492,0.001708,acc_mean
