dataset,paper_acc,paper_nmi,paper_ari,best_single_acc,best_single_nmi,best_single_ari,best_single_arch,best_single_gamma,best_single_seed,meanstd_acc_mean,meanstd_acc_std,meanstd_nmi_mean,meanstd_nmi_std,meanstd_ari_mean,meanstd_ari_std,meanstd_arch,meanstd_gamma,gap_best_acc,gap_best_nmi,gap_best_ari,gap_mean_acc,gap_mean_nmi,gap_mean_ari
BDGP,0.98,0.9469,0.9511,0.9812,0.9501,0.954,10,10.0,1,0.97688,0.005929,0.9413,0.009942,0.94396,0.013366,30,10.0,0.0012,0.0032,0.0029,-0.0031,-0.0056,-0.0071
HW,0.979,0.9525,0.954,0.9815,0.9564,0.9594,20,10.0,3,0.9794,0.000822,0.9532,0.001713,0.95492,0.001708,80,10.0,0.0025,0.0039,0.0054,0.0004,0.0007,0.0009
